CONSECUTIVO,LETRA,CATALOG_KEY,NOMBRE,CODIGOX,LSEX,LINF,LSUP,TRIVIAL,ERRADICADO,N_INTER,NIN,NINMTOBS,COD_SIT_LESION,NO_CBD,CBD,NO_APH,AF_PRIN,DIA_SIS,CLAVE_PROGRAMA_SIS,COD_COMPLEMEN_MORBI,DEF_FETAL_CM,DEF_FETAL_CBD,CLAVE_CAPITULO,CAPITULO,LISTA1,GRUPO1,LISTA5,RUBRICA_TYPE,YEAR_MODIFI,YEAR_APLICACION,VALID,PRINMORTA,PRINMORBI,LM_MORBI,LM_MORTA,LGBD165,LOMSBECK,LGBD190,NOTDIARIA,NOTSEMANAL,SISTEMA_ESPECIAL,BIRMM,CVE_CAUSA_TYPE,CAUSA_TYPE,EPI_MORTA,EDAS_E_IRAS_EN_M5,CSVE_MATERNAS_SEED_EPID,EPI_MORTA_M5,EPI_MORBI,DEF_MATERNAS,ES_CAUSES,NUM_CAUSES,ES_SUIVE_MORTA,ES_SUIVE_MORB,EPI_CLAVE,EPI_CLAVE_DESC,ES_SUIVE_NOTIN,ES_SUIVE_EST_EPI,ES_SUIVE_EST_BROTE,SINAC,PRIN_SINAC,PRIN_SINAC_GRUPO,DESCRIPCION_SINAC_GRUPO,PRIN_SINAC_SUBGRUPO,DESCRIPCION_SINAC_SUBGRUPO,DAGA,ASTERISCO
11,A,A02,"OTRAS INFECCIONES DEBIDAS A SALMONELLA",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NA,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,NO,NO,NO,SI,001,001,NO,NO,NO,1,NO,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,NO,SI,0,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,000,NO,NO,NO,NO,NO,NO
12,A,A020,"ENTERITIS DEBIDA A SALMONELLA",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,NO,NO,NO,SI,001,001,01E,01E,10,1,10,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,SI,56,SI,SI,177,"OTRAS SALMONELOSIS",NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
13,A,A021,"SEPSIS DEBIDA A SALMONELLA",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,C,"2010 CORRECCION TITULOS",2014,SI,001,001,01E,01E,10,1,10,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,NO,NO,SI,SI,177,"OTRAS SALMONELOSIS",NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
14,A,A022,"INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,C,"2003 (SE ELIMINO DAGA)",2003,SI,001,001,01E,01E,10,1,10,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,NO,NO,SI,SI,177,"OTRAS SALMONELOSIS",NO,NO,NO,NO,999,NO,NO,NO,NO,SI,NO
15,A,A028,"OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,NO,NO,NO,SI,001,001,01E,01E,10,1,10,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,NO,NO,SI,SI,177,"OTRAS SALMONELOSIS",NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
16,A,A029,"INFECCIÓN DEBIDA A SALMONELLA, NO ESPECIFICADA",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,NO,NO,NO,SI,001,001,01E,01E,10,1,10,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,NO,NO,SI,SI,177,"OTRAS SALMONELOSIS",NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
17,A,A03,SHIGELOSIS,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NA,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,003,NO,NO,NO,SI,001,001,NO,NO,NO,1,NO,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,NO,SI,0,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,000,NO,NO,NO,NO,NO,NO
18,A,A030,"SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,003,NO,NO,NO,SI,001,001,01D,01D,10,1,10,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,NO,NO,SI,SI,05,SHIGELOSIS,NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
19,A,A031,"SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,003,NO,NO,NO,SI,001,001,01D,01D,10,1,10,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,NO,NO,SI,SI,05,SHIGELOSIS,NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
20,A,A032,"SHIGELOSIS DEBIDA A SHIGELLA BOYDII",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,003,NO,NO,NO,SI,001,001,01D,01D,10,1,10,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,NO,NO,SI,SI,05,SHIGELOSIS,NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
21,A,A033,"SHIGELOSIS DEBIDA A SHIGELLA SONNEI",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,003,NO,NO,NO,SI,001,001,01D,01D,10,1,10,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,NO,NO,SI,SI,05,SHIGELOSIS,NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
22,A,A038,"OTRAS SHIGELOSIS",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,003,NO,NO,NO,SI,001,001,01D,01D,10,1,10,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,NO,NO,SI,SI,05,SHIGELOSIS,NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
23,A,A039,"SHIGELOSIS DE TIPO NO ESPECIFICADO",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,003,NO,NO,NO,SI,001,001,01D,01D,10,1,10,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,NO,NO,SI,SI,05,SHIGELOSIS,NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
24,A,A04,"OTRAS INFECCIONES INTESTINALES BACTERIANAS",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NA,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,NO,NO,NO,SI,001,001,NO,NO,NO,1,NO,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,NO,SI,0,SI,55,NO,SI,NO,NO,NO,NO,NO,NO,000,NO,NO,NO,NO,NO,NO
25,A,A040,"INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROPATÓGENA",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,NO,NO,NO,SI,001,001,01G,01G,10,1,10,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,SI,55,SI,SI,08,"INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS",NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
26,A,A041,"INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROTOXÍGENA",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,NO,NO,NO,SI,001,001,01G,01G,10,1,10,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,SI,55,SI,SI,08,"INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS",NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
27,A,A042,"INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,NO,NO,NO,SI,001,001,01G,01G,10,1,10,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,SI,55,SI,SI,08,"INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS",NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
28,A,A043,"INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROHEMORRÁGICA",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,NO,NO,NO,SI,001,001,01G,01G,10,1,10,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,SI,55,SI,SI,08,"INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS",NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
29,A,A044,"OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,NO,NO,NO,SI,001,001,01G,01G,10,1,10,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,SI,55,SI,SI,08,"INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS",NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
30,A,A045,"ENTERITIS DEBIDA A CAMPYLOBACTER",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,NO,NO,NO,SI,001,001,01G,01G,10,1,10,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,SI,55,SI,SI,08,"INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS",NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
31,A,A046,"ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,NO,NO,NO,SI,001,001,01G,01G,10,1,10,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,SI,55,SI,SI,08,"INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS",NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
32,A,A047,"ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,NO,NO,NO,SI,001,001,01G,01G,10,1,10,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,SI,55,SI,SI,08,"INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS",NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
33,A,A048,"OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,NO,NO,NO,SI,001,001,01G,01G,10,1,10,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,SI,55,SI,SI,08,"INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS",NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
34,A,A049,"INFECCIÓN INTESTINAL BACTERIANA, NO ESPECIFICADA",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,NO,NO,NO,SI,001,001,01G,01G,10,1,10,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,SI,55,SI,SI,08,"INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS",NO,NO,NO,NO,999,NO,NO,NO,NO,NO,NO
35,A,A05,"OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS, NO CLASIFICADAS EN OTRA PARTE",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NA,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,C,"2006 (SE AGREGO NCOP)",2006,SI,001,001,NO,NO,NO,1,NO,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,SI,0,SI,168,NO,SI,NO,NO,NO,NO,SI,NO,000,NO,NO,NO,NO,NO,NO
36,A,A050,"INTOXICACIÓN ALIMENTARIA ESTAFILOCÓCICA",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,NO,NO,NO,SI,001,001,01E,01E,10,1,10,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,SI,168,SI,SI,09,"INTOXICACION ALIMENTARIA BACTERIANA",NO,NO,SI,NO,999,NO,NO,NO,NO,NO,NO
37,A,A051,BOTULISMO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,NO,NO,NO,SI,001,001,01E,01E,10,1,10,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",SI,NO,NO,SI,SI,0,SI,168,SI,SI,09,"INTOXICACION ALIMENTARIA BACTERIANA",NO,NO,SI,NO,999,NO,NO,NO,NO,NO,NO
38,A,A052,"INTOXICACIÓN ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,NO,NO,NO,SI,001,001,01E,01E,10,1,10,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,SI,NO,SI,SI,0,SI,168,SI,SI,09,"INTOXICACION ALIMENTARIA BACTERIANA",NO,NO,SI,NO,999,NO,NO,NO,NO,NO,NO
39,A,A053,"INTOXICACIÓN ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,NO,NO,NO,SI,001,001,01E,01E,10,1,10,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,SI,SI,0,SI,168,SI,SI,09,"INTOXICACION ALIMENTARIA BACTERIANA",NO,NO,SI,NO,999,NO,NO,NO,NO,NO,NO
40,A,A054,"INTOXICACIÓN ALIMENTARIA DEBIDA A BACILLUS CEREUS",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,NO,NO,NO,SI,001,001,01E,01E,10,1,10,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,SI,SI,0,SI,168,SI,SI,09,"INTOXICACION ALIMENTARIA BACTERIANA",NO,NO,SI,NO,999,NO,NO,NO,NO,NO,NO
41,A,A058,"OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,NO,NO,NO,SI,001,001,01E,01E,10,1,10,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,SI,SI,0,SI,168,SI,SI,09,"INTOXICACION ALIMENTARIA BACTERIANA",NO,NO,SI,NO,999,NO,NO,NO,NO,NO,NO
42,A,A059,"INTOXICACIÓN ALIMENTARIA BACTERIANA, NO ESPECIFICADA",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,SI,SI,1,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,006,NO,NO,NO,SI,001,001,01E,01E,10,1,10,NO,SI,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,SI,SI,0,SI,168,SI,SI,09,"INTOXICACION ALIMENTARIA BACTERIANA",NO,NO,SI,NO,999,NO,NO,NO,NO,NO,NO
43,A,A06,AMEBIASIS,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NA,NO,NO,NO,01,"I     CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS",004,001,004,NO,NO,NO,SI,001,001,NO,NO,NO,1,NO,NO,NO,NO,NO,5,"CAUSAS ÚTILES PARA MORTALIDAD",NO,NO,NO,NO,NO,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,000,NO,NO,NO,NO,NO,NO
